order_month,total_revenue,total_payments_received,expected_revenue,total_orders,canceled_orders,pending_orders,delivered_orders,late_deliveries,avg_delay_days,%_canceled,%_pending,%_delivered,%_revenue_reconciliation,average_order_value
2016-09,143.46,0.0,354.75,3,1,2,3,3,36.0,33.33333333333333,66.66666666666666,100.0,40.43974630021142,47.82
2016-10,48314.12,62185.82,58730.850000000006,308,14,37,334,3,6.333333333333333,4.545454545454546,12.012987012987013,108.44155844155846,82.26361443772736,144.65305389221558
2016-12,19.62,19.62,19.62,1,0,0,1,0,0.0,0.0,0.0,100.0,100.0,19.62
2017-01,138323.99,178282.1,147915.18,789,2,40,981,26,20.076923076923077,0.25348542458808615,5.069708491761723,124.33460076045628,93.51575003998913,141.0030479102956
2017-02,286678.44,327928.86,301808.64,1733,15,85,1973,68,16.83823529411765,0.8655510675129832,4.904789382573572,113.84881708020774,94.98682343885184,145.3007805372529
2017-03,442060.99999999994,508767.44000000006,459778.64,2641,25,78,3098,166,19.86144578313253,0.9466111321469141,2.953426732298372,117.30405149564558,96.14648475187971,142.69238218205294
2017-04,414527.46,457050.31000000006,449707.81,2391,24,125,2715,201,10.388059701492537,1.0037641154328731,5.227938101212882,113.55081555834379,92.17706492577926,152.6804640883978
2017-05,614885.9,707042.9,634762.22,3660,33,104,4308,157,12.0,0.9016393442622952,2.841530054644809,117.70491803278689,96.8686983292736,142.73117455896008
2017-06,518076.28,590223.9,531052.0599999999,3217,12,83,3727,147,14.503401360544217,0.3730183400683867,2.5800435188063413,115.85327945290645,97.55658983791534,139.00624631070568
2017-07,610664.8400000001,720446.6799999999,631341.5700000001,3969,34,82,4771,170,8.51764705882353,0.8566389518770472,2.0660115898211138,120.20660115898212,96.72495349862675,127.99514567176692
2017-08,680858.92,850611.08,706168.95,4293,31,86,5107,158,7.3734177215189876,0.7221057535522944,2.003261122757978,118.96109946424411,96.41586761921494,133.31876248286667
2017-09,746898.44,1003326.0700000001,767325.7,4243,16,80,5040,263,8.053231939163497,0.37709168041480084,1.8854584020740042,118.78387933066226,97.33786317856942,148.19413492063492
2017-10,789406.96,1012420.4400000001,808911.3300000001,4568,27,93,5497,271,6.771217712177122,0.5910683012259195,2.0359019264448337,120.33712784588442,97.58881236092958,143.60686920138258
2017-11,1205033.3499999999,1559739.8699999996,1232074.3,7451,39,166,8891,1218,9.526272577996716,0.523419675211381,2.2278888739766476,119.32626493088176,97.80525005675386,135.5340625351479
2017-12,877503.6699999999,1023434.5499999999,898427.9199999999,5624,8,116,6469,533,8.559099437148218,0.1422475106685633,2.062588904694168,115.024893314367,97.67101516613597,135.64749884062454
2018-01,1128224.3900000001,1383865.26,1158742.84,7220,37,148,8418,544,10.316176470588236,0.5124653739612188,2.0498614958448753,116.59279778393352,97.36624478300983,134.02523045854122
2018-02,1016511.4400000001,1295740.35,1039011.65,6694,79,79,7864,1225,10.89795918367347,1.1801613385121004,1.1801613385121004,117.47833881087541,97.8344602777072,129.26137334689727
2018-03,1172957.65,1441973.3900000001,1209080.3,7188,23,185,8384,1707,8.748681898066783,0.3199777406789093,2.573734001112966,116.63884251530328,97.0123861913886,139.9042998568702
2018-04,1174143.4899999998,1469136.33,1201102.21,6934,18,131,8123,394,8.974619289340101,0.25959042399769255,1.8892414190943179,117.14738967406979,97.75550159049327,144.5455484426936
2018-05,1171614.4300000002,1481529.96,1193204.9799999997,6853,27,91,8113,648,5.700617283950617,0.39398803443747266,1.3278855975485189,118.38610827374872,98.1905414105798,144.41198446937014
2018-06,1064996.68,1286923.47,1075753.44,6160,18,51,7327,100,10.12,0.2922077922077922,0.8279220779220778,118.9448051948052,99.00007198675563,145.3523515763614
2018-07,1066593.79,1309951.88,1097939.54,6273,54,79,7223,313,6.143769968051118,0.860832137733142,1.259365534831819,115.14426908974973,97.1450386056777,147.6663145507407
2018-08,1020340.91,1211344.79,1038395.74,6452,33,75,7356,753,2.5737051792828685,0.5114693118412895,1.1624302541847489,114.01115933044017,98.2612765726485,138.70866095704187
2018-09,0.0,0.0,166.46,1,0,1,0,0,0.0,0.0,100.0,0.0,0.0,0.0
